"Time (s)","Rotation x (rad/s)","Rotation y (rad/s)","Rotation z (rad/s)"
5.608195012E0,-3.993413970E-2,8.496885300E-1,-1.324316859E0
5.627109699E0,-2.954973653E-2,7.507312894E-1,-1.290720224E0
5.646024439E0,-1.000262424E-2,6.523848772E-1,-1.261399627E0
5.664939178E0,1.137703005E-2,5.564818382E-1,-1.235133171E0
5.683853918E0,3.275668249E-2,4.624113739E-1,-1.211920977E0
5.702768658E0,4.924955964E-2,3.683409095E-1,-1.188708782E0
5.721683397E0,5.719057471E-2,2.712161839E-1,-1.159388065E0
5.740598137E0,5.230379477E-2,1.704263836E-1,-1.121515512E0
5.759512876E0,3.581092134E-2,6.474980712E-2,-1.072647810E0
5.778427616E0,8.322793990E-3,-4.703523964E-2,-1.010952234E0
5.797342356E0,-2.832804248E-2,-1.631725729E-1,-9.352071285E-1
5.816257095E0,-6.986565888E-2,-2.841203213E-1,-8.466343284E-1
5.835171835E0,-1.101815775E-1,-4.062897861E-1,-7.464553714E-1
5.854086574E0,-1.456107199E-1,-5.309026241E-1,-6.383354068E-1
5.873001314E0,-1.743205339E-1,-6.542937756E-1,-5.247178078E-1
5.891916053E0,-1.920351088E-1,-7.740198374E-1,-4.092676640E-1
5.910830741E0,-1.975327283E-1,-8.870265484E-1,-2.944283783E-1
5.929745481E0,-1.914242655E-1,-9.933140278E-1,-1.832541823E-1
5.948660220E0,-1.792073101E-1,-1.090438724E0,-7.879929990E-2
5.967574960E0,-1.584385037E-1,-1.178400755E0,2.076880634E-2
5.986489699E0,-1.333937645E-1,-1.257200003E0,1.154501289E-1
6.005404439E0,-1.089598835E-1,-1.328058243E0,2.064663768E-1
6.024319178E0,-8.452598751E-2,-1.390975595E0,2.956500649E-1
6.043233918E0,-6.131379306E-2,-1.448395252E0,3.860554695E-1
6.062148658E0,-3.871244565E-2,-1.499706388E0,4.776825607E-1
6.081063397E0,-1.488940232E-2,-1.546130776E0,5.717530251E-1
6.099978137E0,1.443126611E-2,-1.585835814E0,6.694886088E-1
6.118892876E0,5.047125369E-2,-1.618821621E0,7.666133046E-1
6.137807616E0,9.628479928E-2,-1.644477129E0,8.612946272E-1
6.156722356E0,1.537044346E-1,-1.660359263E0,9.505546689E-1
6.175637095E0,2.208976448E-1,-1.666467667E0,1.029353976E0
6.194551835E0,2.984752357E-1,-1.662191749E0,1.094103813E0
6.213466574E0,3.791070879E-1,-1.643255472E0,1.144193292E0
6.232381314E0,4.609606266E-1,-1.612102270E0,1.177178979E0
6.251296001E0,5.391490459E-1,-1.569953799E0,1.194282770E0
6.270210741E0,6.081748009E-1,-1.517420888E0,1.197947860E0
